epoch	phase	mode	dataset	f1	min_dist	avg_dist	min_pair	avg_base_lp	min_base_lp
1	Phase0-LoRA	fixed	voxceleb	0.2146	0.937740	0.960609	neutral∩positive	-34.9489	-40.0967
1	Phase0-LoRA	fixed	hvb	0.0946	0.847955	0.966999	apology∩self	-37.3102	-52.4043
1	Phase0-LoRA	fixed	voxpopuli	0.1149	0.921950	0.967523	org∩when	-39.7086	-52.4043
1	Phase0-LoRA	fixed	meld_emotion	0.183	0.903493	0.972610	disgust∩neutral	-39.9168	-52.4043
1	Phase0-LoRA	fresh	voxceleb	0.3	0.920773	0.948011	negative∩neutral	-34.7446	-37.6618
1	Phase0-LoRA	fresh	hvb	0.0829	0.853704	0.961482	other∩thanks	-35.7232	-44.5739
1	Phase0-LoRA	fresh	voxpopuli	0.1187	0.862675	0.956251	place∩when	-37.6691	-42.4577
1	Phase0-LoRA	fresh	meld_emotion	0.07	0.867259	0.955810	anger∩neutral	-36.9539	-41.0391
2	Phase1-Slots	fixed	voxceleb	0.2408	0.979204	0.984066	negative∩neutral	-38.0551	-40.9240
2	Phase1-Slots	fixed	hvb	0.0114	0.860534	0.973413	other∩thanks	-36.4556	-41.3686
2	Phase1-Slots	fixed	voxpopuli	0.1051	0.928721	0.978798	org∩quant	-35.6053	-40.9240
2	Phase1-Slots	fixed	meld_emotion	0.157	0.936369	0.964711	anger∩surprise	-35.7229	-41.3686
2	Phase1-Slots	fresh	voxceleb	0.0833	0.862267	0.941698	negative∩neutral	-37.7545	-43.2951
2	Phase1-Slots	fresh	hvb	0.108	0.770439	0.957145	question_check∩question_repeat	-37.1383	-49.2282
2	Phase1-Slots	fresh	voxpopuli	0.1141	0.926314	0.958047	org∩person	-35.0771	-42.3074
2	Phase1-Slots	fresh	meld_emotion	0.1015	0.900202	0.964522	anger∩neutral	-39.0436	-47.6163
3	Phase1-Slots	fixed	voxceleb	0.028	0.988837	0.991161	negative∩positive	-38.9327	-41.0109
3	Phase1-Slots	fixed	hvb	0.0484	0.808456	0.971340	backchannel∩other	-37.7281	-43.5271
3	Phase1-Slots	fixed	voxpopuli	0.1474	0.954204	0.976280	org∩when	-35.5594	-41.0905
3	Phase1-Slots	fixed	meld_emotion	0.1422	0.890013	0.969997	fear∩sadness	-40.6237	-43.5271
3	Phase1-Slots	fresh	voxceleb	0.0238	0.955648	0.962779	negative∩positive	-38.8175	-40.0317
3	Phase1-Slots	fresh	hvb	0.1175	0.800784	0.958761	question_general∩statement_general	-38.0830	-46.3656
3	Phase1-Slots	fresh	voxpopuli	0.1498	0.898411	0.953442	norp∩org	-37.5416	-41.6119
3	Phase1-Slots	fresh	meld_emotion	0.3342	0.879214	0.972478	anger∩joy	-35.3014	-39.3695
4	Phase1-Slots	fixed	voxceleb	0.0534	0.946241	0.963658	negative∩positive	-42.3566	-45.8954
4	Phase1-Slots	fixed	hvb	0.0401	0.765650	0.963743	self∩thanks	-37.6986	-45.8954
4	Phase1-Slots	fixed	voxpopuli	0.1645	0.765650	0.956208	law∩org	-37.7448	-45.6431
4	Phase1-Slots	fixed	meld_emotion	0.2753	0.914616	0.971584	disgust∩neutral	-37.9983	-45.6431
4	Phase1-Slots	fresh	voxceleb	0.4246	0.953034	0.989585	negative∩neutral	-33.7705	-34.9129
4	Phase1-Slots	fresh	hvb	0.0642	0.806094	0.954823	question_repeat∩statement_open	-36.8606	-44.2257
4	Phase1-Slots	fresh	voxpopuli	0.1401	0.871177	0.947389	person∩when	-39.4688	-46.1996
4	Phase1-Slots	fresh	meld_emotion	0.2505	0.951956	0.975689	disgust∩sadness	-35.2215	-41.0251
5	Phase1-Slots	fixed	voxceleb	0.3	0.949799	0.983284	negative∩neutral	-37.2796	-38.1399
5	Phase1-Slots	fixed	hvb	0.0462	0.858444	0.968095	statement_instruct∩statement_open	-36.8867	-45.6431
5	Phase1-Slots	fixed	voxpopuli	0.151	0.758059	0.945751	law∩org	-37.2920	-45.6431
5	Phase1-Slots	fixed	meld_emotion	0.1579	0.758059	0.943307	anger∩neutral	-35.5753	-37.7932
5	Phase1-Slots	fresh	voxceleb	0.1674	0.979269	0.993719	neutral∩positive	-36.2089	-41.7751
5	Phase1-Slots	fresh	hvb	0.0953	0.819172	0.959903	self∩thanks	-36.4619	-44.8702
5	Phase1-Slots	fresh	voxpopuli	0.1478	0.828056	0.946432	place∩quant	-37.7946	-47.1202
5	Phase1-Slots	fresh	meld_emotion	0.0902	0.867477	0.961826	joy∩surprise	-36.0123	-40.2835
6	Phase1-Slots	fixed	voxceleb	0.2911	0.925335	0.952170	negative∩positive	-35.4437	-36.8960
6	Phase1-Slots	fixed	hvb	0.061	0.782038	0.964145	apology∩question_check	-37.5650	-45.6431
6	Phase1-Slots	fixed	voxpopuli	0.1353	0.887858	0.965351	org∩person	-36.9546	-41.9882
6	Phase1-Slots	fixed	meld_emotion	0.1639	0.921976	0.969813	fear∩joy	-36.5552	-38.8422
6	Phase1-Slots	fresh	voxceleb	0.2551	0.934560	0.958023	negative∩neutral	-41.4467	-44.2142
6	Phase1-Slots	fresh	hvb	0.0779	0.763950	0.956020	question_repeat∩statement_problem	-36.1125	-40.7594
6	Phase1-Slots	fresh	voxpopuli	0.1086	0.898714	0.970737	law∩place	-36.1550	-39.9690
6	Phase1-Slots	fresh	meld_emotion	0.0701	0.937536	0.974292	fear∩neutral	-37.2781	-41.7943
7	Phase2-LoRA	fixed	voxceleb	0.1598	0.758059	0.848081	neutral∩positive	-34.4668	-36.6091
7	Phase2-LoRA	fixed	hvb	0.1117	0.758059	0.962715	disfluency∩self	-36.9213	-45.6431
7	Phase2-LoRA	fixed	voxpopuli	0.1434	0.765650	0.960475	place∩quant	-35.8913	-45.6431
7	Phase2-LoRA	fixed	meld_emotion	0.3431	0.765650	0.951446	joy∩sadness	-36.1519	-40.1979
7	Phase2-LoRA	fresh	voxceleb	0.3903	0.884461	0.911419	negative∩positive	-35.7287	-40.6600
7	Phase2-LoRA	fresh	hvb	0.0618	0.000000	0.951270	answer_agree∩question_repeat	-36.4530	-43.4878
7	Phase2-LoRA	fresh	voxpopuli	0.1401	0.891579	0.948486	norp∩person	-36.9490	-41.1348
7	Phase2-LoRA	fresh	meld_emotion	0.1328	0.840623	0.952278	fear∩neutral	-37.2836	-46.5100
8	Phase2-LoRA	fixed	voxceleb	0.3	0.870844	0.892248	negative∩positive	-38.2001	-40.1979
8	Phase2-LoRA	fixed	hvb	0.0709	0.758059	0.965086	acknowledge∩other	-36.7851	-45.6431
8	Phase2-LoRA	fixed	voxpopuli	0.1663	0.916621	0.972892	person∩quant	-38.1600	-42.9998
8	Phase2-LoRA	fixed	meld_emotion	0.3359	0.870844	0.965360	sadness∩surprise	-38.0915	-45.6431
8	Phase2-LoRA	fresh	voxceleb	0.3961	0.943412	0.980022	negative∩positive	-31.7781	-34.4286
8	Phase2-LoRA	fresh	hvb	0.0679	0.877905	0.968560	statement_close∩thanks	-35.9507	-46.3821
8	Phase2-LoRA	fresh	voxpopuli	0.1743	0.886707	0.959567	law∩place	-37.9160	-42.8443
8	Phase2-LoRA	fresh	meld_emotion	0.1851	0.898153	0.961869	joy∩sadness	-37.7245	-40.9670
9	Phase2-LoRA	fixed	voxceleb	0.0196	0.938472	0.972556	negative∩neutral	-38.1900	-38.8422
9	Phase2-LoRA	fixed	hvb	0.0636	0.758059	0.960953	disfluency∩statement_close	-37.1157	-45.6431
